,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
0,4,2.990792208664569,2.9315562241025663,3.1685979048110164,3.4979329704309214,3.0393830989018813,3.0001859429372217,2.598547882657895,2.8820142248441307,3.6444052831278104,3.101596732014144
1,5,2.748543864783037,2.7040142018335622,3.0024954605023226,3.371135279851353,2.7451087577768463,2.7601966964771596,2.3604057838200316,2.5925065332054453,3.6042740437695397,2.9699999038997436
2,6,2.5094612804216645,2.5080673036040078,2.8217817789038198,3.231351992529114,2.315281526279483,2.490272164970145,2.149501370017642,2.3447771982505183,3.5355810915762307,2.79387951780677
3,7,2.2879320279477326,2.343223428007633,2.6425958044995856,3.0908263673817222,1.9439215428135763,2.257174914015358,1.9574087724839717,2.1617645380190447,3.442886749175964,2.648099553080986
4,8,2.1054043954761865,2.206573760149852,2.473169067819465,2.9572455974048037,1.5779218139221007,2.0544740842716323,1.8337772928367775,2.0349636967263907,3.335302878997015,2.483209701091227
5,9,1.9745533404488569,2.094573596995363,2.3195200831953007,2.834145197233249,1.5517700944376451,1.8533744956455203,1.7342725456002541,1.9459986636706388,3.2225202077834183,2.3585157261979255
6,10,1.880490882780636,2.003824887865464,2.182500928819565,2.722304658186791,1.5336990736869884,1.6582554447881024,1.6552035704961263,1.8789896439076716,3.1122038620127004,2.232195939262724
7,11,1.8248420285332934,1.9313266627686458,2.065251922401508,2.6210756466643255,1.492155659994926,1.5844539074482356,1.6692984305509722,1.824153603083582,3.009069155471737,2.1429598329675006
8,12,1.8064335512877885,1.8744956597904434,1.9712089522088503,2.5292691154966884,1.4473243528232993,1.5755097366008528,1.7543055166315513,1.777129727226891,2.9152063498470158,2.0602786740854766
9,13,1.8138015862531074,1.8311083870706215,1.9009788760004713,2.4456281220844107,1.422227721221535,1.6245824882085602,1.8494134270876603,1.7367855590194974,2.8309243112786984,2.0088862922425665
10,14,1.842282620793893,1.7992292498988938,1.8521606936402601,2.369029610286116,1.4259144654498666,1.6829749622838024,1.9154076029795943,1.7031542871918213,2.7555737292463336,1.9683884003405872
11,15,1.864325193687606,1.7771481646557459,1.818442726388339,2.2985430237745805,1.4831604774864793,1.7027700505104517,1.9558516549960725,1.67620104292287,2.688126538271063,1.9487335819365057
12,16,1.8790340175498816,1.7633336879058124,1.7942982663880986,2.2334269549309456,1.5100657008428244,1.720616869915015,1.9639973698634385,1.6553890117934844,2.627500394332422,1.9324112875399488
13,17,1.876583462559422,1.7564011134556512,1.7748725123063902,2.1731059942453643,1.6107988618798996,1.728493839689715,1.9606752226135318,1.6397330228452136,2.572700257398705,1.9239866260011187
14,18,1.8603387669888294,1.7550928396569399,1.7571773298454934,2.1171458272668544,1.6801639970885074,1.7292835415314645,1.9504164866243292,1.6280569028292176,2.5228557610075257,1.9101760216979267
15,19,1.841805015828814,1.7582678203272453,1.7406580240394018,2.065232214543246,1.7112992341694189,1.7315372875642252,1.931483093020598,1.6192831590098145,2.477211626905608,1.8982338549127942
16,20,1.8267017807218888,1.7648970285491459,1.7259564698375423,2.017154128383695,1.7821176487910926,1.7318757807615015,1.904314503506451,1.6126570162716425,2.4351045027099567,1.881944531884312
17,21,1.8115071971087673,1.7740622283262628,1.7136228787658092,1.9727895596470437,1.8252232926425043,1.73242297968247,1.865987011538816,1.6078330567030112,2.395942042114755,1.8666763887062356
18,22,1.7958695097017052,1.7849558493610012,1.7042314837012231,1.9320923218844746,1.805395343910475,1.7468300807821358,1.8725274449382554,1.6047821111733092,2.359189551899435,1.848364338053849
19,23,1.7814526263495274,1.7968803354288712,1.69800138317657,1.895078550975175,1.783721123155028,1.7777797232357584,1.9014850792902522,1.6035504093267343,2.3243642427857862,1.830925292746573
20,24,1.7710085791966368,1.8092459280990612,1.6952759207413755,1.8618120913391005,1.7665596268637849,1.8229978431170966,1.9300784733549219,1.603994851378821,2.2910350003334754,1.8110517838647524
21,25,1.7626135116887038,1.821566394302601,1.6962899445984663,1.832388430792465,1.7631382480556828,1.8811489843696194,1.9648772833139474,1.6056429911087549,2.258825148004281,1.7922214207356058
22,26,1.7529968822948212,1.8334526582697208,1.7003754234877198,1.8069172699788574,1.7472113114508523,1.9455785368426495,1.9964931069518765,1.6077437307721203,2.2274160053554692,1.7713760507463534
23,27,1.7422036702213763,1.8446046259181268,1.7070006904418848,1.7855041937107345,1.7412772731186608,2.012809540789043,2.02093596452379,1.6094526867792747,2.196549664293968,1.7514042918594668
24,28,1.7275383184964788,1.8548016864847126,1.715410338438982,1.76823224561236,1.7260212021805532,2.082523172547627,2.0607135779418333,1.6100356766144601,2.166030071470577,1.7297209212295168
25,29,1.7070112978419252,1.8638924553758043,1.7252478194364986,1.7551444693131595,1.707581629280851,2.154105355699159,2.0888722844378407,1.609001060955635,2.135722094829261,1.7089130162549098
26,30,1.6783181747579692,1.8717843096249773,1.7358166673603004,1.7462286302775185,1.6786803114808908,2.2196967398307126,2.1256148976614266,1.606136574322708,2.1055487075416197,1.686633977892807
27,31,1.642805091385076,1.8784331933887999,1.746512935354743,1.741405333554165,1.666983923066002,2.2464090758391095,2.1428403646283,1.601474244931351,2.075486717832062,1.6648131937371833
28,32,1.6066076461043803,1.8838340643817673,1.756708935321482,1.7405205819087972,1.6579884538598308,2.2571597956717966,2.121569175385742,1.5952214061751009,2.04556160839972,1.6412924988293265
29,33,1.5778011050354905,1.888012236385279,1.7660600661462107,1.7433434821577505,1.6402664175002004,2.247156329634591,2.07184671497232,1.5876880628600927,2.015842044460655,1.6177345636997191
30,34,1.5643045614706543,1.8910157643405807,1.7746618245006602,1.749569344337191,1.6393971163019323,2.2058018561145505,2.0437364345426956,1.579226900701524,1.9864344997475947,1.5923027630618165
31,35,1.5680151869655543,1.8929089266606958,1.7827208443415776,1.7588278959272852,1.6484306877606731,2.166364996342016,1.996929653600927,1.5701909907783087,1.9574782772381547,1.5669745555310954
32,36,1.584604391844885,1.8937667883769065,1.7906658867660152,1.7706958335219698,1.6943828390756128,2.088052223931678,1.9316929548167348,1.560907920725079,1.9291410078104527,1.5403833803095734
33,37,1.6150577618671735,1.8936707787031815,1.798740419841733,1.7847125354371773,1.7135345641197761,2.0001084956009203,1.8365542093739347,1.5516666335568021,1.9016145312087411,1.5145624945437548
34,38,1.6534692030718223,1.8927051853121706,1.8072421036932242,1.8003975185899903,1.730710696885265,1.8863787452316094,1.877333956582833,1.542712998767214,1.8751109260311984,1.4884677548058793
35,39,1.6941854374957201,1.8909544516043515,1.816212508704829,1.817268167521272,1.7217196310873673,1.9705607382192218,1.9201690219703058,1.5342508149635146,1.8498583751118818,1.4640520306045686
36,40,1.73298033263245,1.8885011588146678,1.8253798430317736,1.834856384103138,1.7413502390880895,2.017880745570704,1.9202077945561937,1.526445838389834,1.826096536416674,1.4403702845036488
37,41,1.770638923010605,1.885424578434538,1.8345511558450143,1.8527230658107934,1.7248624036364573,2.011153461604306,1.9194708855295133,1.519431233197489,1.8040711361816595,1.4193121701947506
38,42,1.8084597560683195,1.8817996892141937,1.843632407588758,1.8704696635789075,1.7318179560026186,2.0033623633035953,1.9183964880966744,1.5133134522437548,1.78402760275022,1.400188434916441
39,43,1.8502859848261954,1.8776965646230974,1.8525914892509299,1.8877464382414817,1.7431401439250798,2.0185977227642815,1.9893247693764826,1.5081779852051986,1.7662037032615112,1.3849333516800721
40,44,1.8913397550487874,1.8731800494025446,1.861354219330604,1.9042573758792152,1.7853048741460666,2.027062449698725,2.0421164434660386,1.50409469116614,1.7508213134700348,1.3730114539907006
41,45,1.927391212099575,1.8683096565659987,1.869745169098713,1.9197620005065,1.818037142763931,2.0297799429807224,2.0798967495176615,1.5011226068766255,1.7380776227293406,1.365900542157129
42,46,1.946943935772524,1.8631396281626018,1.8774046522956596,1.934074518401691,1.8334780625126672,2.0276189969843488,2.1052247803106696,1.499314224128412,1.7281362291565803,1.3625422832485024
43,47,1.957824157856547,1.8577191138854854,1.8842237462790241,1.947060839156151,1.8407545962054694,2.0194461350644044,2.1202065502001934,1.4987192857441256,1.721118692562284,1.3635258406132738
44,48,1.9556949637406675,1.8520924310165539,1.8900356379408758,1.9586340534209075,1.847577312119411,2.0109581748552787,2.126583176704613,1.4993881771455981,1.7170971668601098,1.3677203750944713
45,49,1.9462166015366875,1.8462993771969551,1.894735346816917,1.968748922785472,1.848296935436149,1.9799676726927211,2.1101097962323285,1.5013750009065514,1.7160887179382365,1.3750971754599024
46,50,1.930880468517507,1.840375574194587,1.8981191230072267,1.9773958722097664,1.832521446726103,1.9602746287919972,2.0849574619967437,1.5047404222872056,1.7180518449749371,1.3850159179405186
47,51,1.9107567983651927,1.8343528262989617,1.90000906799985,1.9845948879868158,1.7959709117069864,1.9409912641546045,2.063055879001392,1.5095543686602415,1.7228855706352852,1.3970471129403457
48,52,1.8911072522625578,1.828259481388756,1.900547841648397,1.9903896293098975,1.7792769824544183,1.9347913969825499,2.039532614152821,1.5158986570324948,1.730431265789708,1.4112927892985583
49,53,1.877705515202222,1.822120786215863,1.9000770754925402,1.994841970124252,1.750045385078809,2.127437512626302,2.080731905517575,1.523869612007681,1.7404771517641817,1.4273964841272229
50,54,1.869203817753249,1.8159592301937977,1.8989572012154374,1.9980271070549374,1.737238239661583,2.252929953524311,2.104180480150376,1.5335807206716483,1.7527652053530325,1.4458726180999404
51,55,1.8540560626100442,1.8097948741005656,1.897310820288913,2.000029302388518,1.7269482349634575,2.329244222240026,2.111576247450526,1.5451653487290864,1.7670000053395902,1.4654097097292633
52,56,1.841896053092758,1.8036456617207537,1.8953103548492907,2.000938279326695,1.7140973370582593,2.369286137568909,2.106961035785923,1.558779509779083,1.7828589250322164,1.4864914779524454
53,57,1.829290875626739,1.7975277136640724,1.8930737987254387,2.0008462492343826,1.7066227972452703,2.382450513788337,2.0929672017386385,1.574604630418664,1.8000030057961913,1.5075119419808187
54,58,1.8156656558722306,1.7914556034866338,1.8907129192831098,1.9998455255798595,1.723988530001891,2.3756587861373673,2.117854702567279,1.592850177868311,1.818087844419417,1.5288361385447298
55,59,1.814044864160859,1.7854426168910567,1.8885011141562846,1.9980266644329963,1.7365975704636165,2.4916762117410216,2.3087935872972563,1.6137558985018237,1.8367738858852007,1.5500401252255545
56,60,1.818935192628924,1.7795009952255552,1.8864906380765942,1.9954770644460436,1.72644111655599,2.5453191400973227,2.5260839424040378,1.637593231325668,1.8557356191563579,1.571890706936671
57,61,1.8381204317578164,1.7736421648058682,1.8849715584215438,1.992279958045505,1.7147707243289076,2.816052205681604,2.6982199084258727,1.6646651740236034,1.874669309285232,1.5942427184668007
58,62,1.863471825971711,1.7678769537805572,1.8840448524991131,1.9885137282980168,1.6715757782980105,2.9243122943867808,2.780559217326273,1.6953034364012185,1.8932990461026553,1.6171673504375748
59,63,1.8878471800962815,1.7622157983520208,1.8838213881370431,1.9842514911041575,1.6511882429731108,2.9344174515347934,2.796627108954453,1.7298610366364067,1.9113810313527415,1.640494861573844
60,64,1.9044178678859354,1.7566689402129518,1.8843087852686962,1.979560888907527,1.6564439928684123,2.885568758658683,2.7637661360895307,1.7686974640546005,1.9287061496875755,1.6632497088528764
61,65,1.9133201437014307,1.7512466170339402,1.8853858816037636,1.9745040491605708,1.6691785069862506,2.7940152484361507,2.6931245071357157,1.8121519894653244,1.9451009663276568,1.6854595188666863
62,66,1.9124787725970254,1.7459592477790742,1.88681975590801,1.969137667801941,1.719598575383671,2.686463335329244,2.6028143220771818,1.860498451099847,1.9604273619920298,1.705643921035476
63,67,1.90464197951983,1.7408176145147507,1.8883154643941742,1.9635131846204996,1.755103069493666,2.5576536505661087,2.5017515780920374,1.9138716776073992,1.9745810544066276,1.7244811448318884
64,68,1.8893082804075256,1.7358330422271901,1.889494913134253,1.957677023386679,1.7759266582035782,2.429953315432834,2.398839577262126,1.9721515486901782,1.9874892686785628,1.740469070314539
65,69,1.8664710943387883,1.7310175779533028,1.889994832746594,1.9516708749355276,1.7724358296876086,2.309284036453225,2.29840933201588,2.0347859220841698,1.9991078111540852,1.7546555993078659
