Date,High,Low,Adj_Close,Change
2007-01-03,388.25,370.25,370.5,0.0
2007-01-04,372.5,360.5,362.25,-2.23
2007-01-05,368.75,359.0,368.25,1.66
2007-01-08,369.75,361.25,363.5,-1.29
2007-01-09,363.0,354.0,354.5,-2.48
2007-01-10,363.5,352.5,360.25,1.62
2007-01-11,380.25,362.0,376.5,4.51
2007-01-12,396.5,374.25,396.5,5.31
2007-01-16,416.5,403.0,403.0,1.64
2007-01-17,420.5,402.5,408.0,1.24
2007-01-18,418.0,405.25,412.25,1.04
2007-01-19,414.5,405.75,406.75,-1.33
2007-01-22,409.25,399.0,404.25,-0.61
2007-01-23,410.75,404.75,409.0,1.18
2007-01-24,411.0,397.25,400.75,-2.02
2007-01-25,407.5,398.75,407.0,1.56
2007-01-26,408.75,402.0,405.5,-0.37
2007-01-29,407.75,396.0,400.0,-1.36
2007-01-30,405.75,396.0,404.75,1.19
2007-01-31,409.25,402.5,404.0,-0.19
2007-02-01,408.5,396.5,398.0,-1.49
2007-02-02,405.75,394.5,402.0,1.01
2007-02-05,407.0,397.75,402.0,0.0
2007-02-06,403.25,396.25,396.5,-1.37
2007-02-07,399.75,391.5,392.25,-1.07
2007-02-08,401.25,392.75,399.75,1.91
2007-02-09,409.5,397.25,406.25,1.63
2007-02-12,409.5,403.0,404.75,-0.37
2007-02-13,411.75,403.25,411.0,1.54
2007-02-14,414.0,405.25,408.25,-0.67
2007-02-15,412.75,404.75,407.5,-0.18
2007-02-16,417.75,405.75,417.0,2.33
2007-02-20,420.0,414.0,415.25,-0.42
2007-02-21,428.25,413.25,426.25,2.65
2007-02-22,435.25,425.0,434.5,1.94
2007-02-23,434.5,428.0,430.25,-0.98
2007-02-26,437.25,425.25,425.5,-1.1
2007-02-27,425.75,405.75,411.0,-3.41
2007-02-28,425.0,409.25,425.25,3.47
2007-03-01,428.5,405.75,417.25,-1.88
2007-03-02,419.25,408.25,411.0,-1.5
2007-03-05,417.75,402.5,417.25,1.52
2007-03-06,420.25,412.0,412.5,-1.14
2007-03-07,418.0,409.25,415.75,0.79
2007-03-08,419.0,411.0,412.0,-0.9
2007-03-09,413.5,407.0,408.25,-0.91
2007-03-12,408.25,397.0,399.75,-2.08
2007-03-13,402.5,392.5,397.0,-0.69
2007-03-14,396.0,389.0,389.5,-1.89
2007-03-15,408.75,397.25,397.75,2.12
2007-03-16,405.5,392.25,399.5,0.44
2007-03-19,404.0,393.25,398.0,-0.38
2007-03-20,406.0,395.0,405.25,1.82
2007-03-21,411.5,403.75,409.75,1.11
2007-03-22,410.5,406.0,409.5,-0.06
2007-03-23,412.5,402.5,403.25,-1.53
2007-03-26,403.0,385.0,391.0,-3.04
2007-03-27,394.0,388.0,392.5,0.38
2007-03-28,396.25,384.5,388.5,-1.02
2007-03-29,398.0,385.0,394.5,1.54
2007-03-30,397.75,374.5,374.5,-5.07
2007-04-02,359.5,354.5,354.75,-5.27
2007-04-03,359.25,343.0,346.25,-2.4
2007-04-04,363.75,347.0,359.25,3.75
2007-04-05,367.5,357.25,366.0,1.88
2007-04-09,385.25,360.75,363.5,-0.68
2007-04-10,374.25,357.25,369.0,1.51
2007-04-11,372.5,359.0,360.75,-2.24
2007-04-12,361.5,349.0,358.75,-0.55
2007-04-13,369.75,355.0,369.0,2.86
2007-04-16,369.0,360.75,364.25,-1.29
2007-04-17,369.75,352.25,353.25,-3.02
2007-04-18,366.5,351.0,363.5,2.9
2007-04-19,373.0,361.5,371.25,2.13
2007-04-20,376.0,358.5,360.5,-2.9
2007-04-23,358.5,349.25,352.25,-2.29
2007-04-24,361.75,352.0,360.5,2.34
2007-04-25,380.5,361.0,371.25,2.98
2007-04-26,378.75,359.5,364.75,-1.75
2007-04-27,366.0,357.25,364.25,-0.14
2007-04-30,362.5,352.25,358.0,-1.72
2007-05-01,367.75,353.75,367.5,2.65
2007-05-02,373.75,365.0,372.0,1.22
2007-05-03,386.75,370.0,379.75,2.08
2007-05-04,382.75,376.5,381.25,0.39
2007-05-07,390.0,367.5,369.5,-3.08
2007-05-08,365.25,352.0,353.75,-4.26
2007-05-09,357.75,351.75,357.25,0.99
2007-05-10,360.0,345.0,345.75,-3.22
2007-05-11,361.75,343.5,361.0,4.41
2007-05-14,362.5,357.0,358.0,-0.83
2007-05-15,374.5,355.25,371.5,3.77
2007-05-16,377.75,368.5,376.0,1.21
2007-05-17,378.75,371.25,373.0,-0.8
2007-05-18,381.25,370.25,371.25,-0.47
2007-05-21,382.75,368.25,381.0,2.63
2007-05-22,380.5,367.75,369.5,-3.02
2007-05-23,374.75,367.25,368.5,-0.27
2007-05-24,378.25,369.25,376.5,2.17
2007-05-25,379.75,370.75,376.0,-0.13
2007-05-29,376.0,363.25,364.75,-2.99
2007-05-30,384.75,363.5,382.25,4.8
2007-05-31,395.75,380.5,390.25,2.09
2007-06-01,395.0,385.5,386.75,-0.9
2007-06-04,389.5,383.25,383.75,-0.78
2007-06-05,390.0,377.0,380.25,-0.91
2007-06-06,384.0,371.25,374.75,-1.45
2007-06-07,386.5,372.0,384.75,2.67
2007-06-08,388.5,376.5,382.0,-0.71
2007-06-11,400.75,389.5,396.0,3.66
2007-06-12,397.25,387.5,393.5,-0.63
2007-06-13,406.5,389.5,404.5,2.8
2007-06-14,414.0,402.5,409.5,1.24
2007-06-15,423.5,409.0,419.0,2.32
2007-06-18,428.75,414.0,416.0,-0.72
2007-06-19,417.5,396.0,396.0,-4.81
2007-06-20,401.0,388.0,394.25,-0.44
2007-06-21,402.0,382.5,385.0,-2.35
2007-06-22,387.75,366.0,367.5,-4.55
2007-06-25,367.75,357.0,357.75,-2.65
2007-06-26,363.75,356.0,356.5,-0.35
2007-06-27,359.0,340.75,343.75,-3.58
2007-06-28,346.25,338.0,339.5,-1.24
2007-06-29,347.5,323.25,329.5,-2.95
2007-07-02,337.5,325.0,330.5,0.3
2007-07-03,330.75,317.25,320.0,-3.18
2007-07-05,326.5,320.5,324.0,1.25
2007-07-06,334.0,323.25,334.5,3.24
2007-07-09,334.0,325.25,332.5,-0.6
2007-07-10,339.25,327.25,338.0,1.65
2007-07-11,338.5,334.5,336.0,-0.59
2007-07-12,343.75,332.5,344.0,2.38
2007-07-13,341.75,338.75,341.5,-0.73
2007-07-16,348.25,334.75,334.75,-1.98
2007-07-17,334.5,317.5,322.5,-3.66
2007-07-18,328.25,321.5,327.0,1.4
2007-07-19,329.5,316.25,321.25,-1.76
2007-07-20,327.5,315.25,318.25,-0.93
2007-07-23,317.0,308.5,310.0,-2.59
2007-07-24,316.5,309.5,311.5,0.48
2007-07-25,316.5,310.75,311.5,0.0
2007-07-26,326.0,311.5,317.5,1.93
2007-07-27,322.25,315.0,321.0,1.1
2007-07-30,324.75,313.5,323.5,0.78
2007-07-31,326.5,321.5,325.75,0.7
2007-08-01,328.0,316.75,319.0,-2.07
2007-08-02,328.0,322.25,324.0,1.57
2007-08-03,330.0,322.0,326.5,0.77
2007-08-06,327.0,316.5,325.75,-0.23
2007-08-07,335.75,323.5,335.25,2.92
2007-08-08,342.75,333.25,341.0,1.72
2007-08-09,342.5,330.75,332.25,-2.57
2007-08-10,337.0,324.75,333.0,0.23
2007-08-13,340.5,330.5,331.0,-0.6
2007-08-14,335.0,324.25,327.5,-1.06
2007-08-15,333.5,324.25,328.0,0.15
2007-08-16,326.75,309.5,321.5,-1.98
2007-08-17,329.5,317.25,328.5,2.18
2007-08-20,332.5,324.5,331.75,0.99
2007-08-21,340.75,329.75,338.5,2.03
2007-08-22,348.0,337.25,347.5,2.66
2007-08-23,353.0,344.0,345.25,-0.65
2007-08-24,345.5,341.0,341.5,-1.09
2007-08-27,340.75,323.0,335.75,-1.68
2007-08-28,336.5,325.25,327.25,-2.53
2007-08-29,329.5,321.75,322.75,-1.38
2007-08-30,331.0,316.0,322.75,0.0
2007-08-31,330.5,321.25,324.0,0.39
2007-09-04,340.25,324.75,336.75,3.94
2007-09-05,339.75,328.25,328.75,-2.38
2007-09-06,330.75,321.0,323.25,-1.67
2007-09-07,332.25,319.75,331.25,2.47
2007-09-10,336.75,326.0,329.75,-0.45
2007-09-11,330.0,322.0,324.5,-1.59
2007-09-12,341.75,321.75,339.75,4.7
2007-09-13,342.0,327.5,330.75,-2.65
2007-09-14,337.0,329.5,336.5,1.74
2007-09-17,354.25,347.75,352.25,4.68
2007-09-18,354.25,344.25,352.25,0.0
2007-09-19,358.75,347.0,358.25,1.7
2007-09-20,375.5,357.0,369.25,3.07
2007-09-21,377.0,367.75,376.5,1.96
2007-09-24,380.5,370.5,373.5,-0.8
2007-09-25,375.5,370.75,371.75,-0.47
2007-09-26,376.0,368.25,375.0,0.87
2007-09-27,389.5,374.5,386.75,3.13
2007-09-28,387.5,370.0,373.0,-3.56
2007-10-01,376.5,368.0,368.75,-1.14
2007-10-02,368.75,348.75,348.75,-5.42
2007-10-03,351.5,342.25,344.5,-1.22
2007-10-04,349.75,341.0,342.25,-0.65
2007-10-05,343.75,339.5,342.25,0.0
2007-10-08,342.5,335.0,339.75,-0.73
2007-10-09,348.75,338.25,342.5,0.81
2007-10-10,348.5,343.25,347.25,1.39
2007-10-11,349.75,341.25,343.75,-1.01
2007-10-12,358.0,340.75,351.0,2.11
2007-10-15,362.5,350.0,362.0,3.13
2007-10-16,362.0,354.75,360.5,-0.41
2007-10-17,360.75,355.75,358.0,-0.69
2007-10-18,367.5,356.5,367.25,2.58
2007-10-19,371.25,363.75,370.25,0.82
2007-10-22,368.75,359.0,364.5,-1.55
2007-10-23,368.75,359.5,361.0,-0.96
2007-10-24,362.5,355.75,356.5,-1.25
2007-10-25,367.5,356.25,366.25,2.73
2007-10-26,374.5,365.0,372.0,1.57
2007-10-29,379.0,371.25,376.0,1.08
2007-10-30,375.75,368.75,370.25,-1.53
2007-10-31,380.0,368.0,375.5,1.42
2007-11-01,379.5,366.5,368.75,-1.8
2007-11-02,380.75,368.25,377.0,2.24
2007-11-05,377.75,372.0,375.25,-0.46
2007-11-06,387.75,374.25,385.75,2.8
2007-11-07,393.0,382.25,384.25,-0.39
2007-11-08,390.0,382.5,389.5,1.37
2007-11-09,389.5,380.5,386.75,-0.71
2007-11-12,385.5,377.75,379.0,-2.0
2007-11-13,382.0,374.0,374.75,-1.12
2007-11-14,385.0,373.75,383.0,2.2
2007-11-15,383.5,374.25,374.75,-2.15
2007-11-16,381.5,374.25,379.5,1.27
2007-11-19,385.0,376.5,377.5,-0.53
2007-11-20,386.25,374.0,381.25,0.99
2007-11-21,383.0,377.5,382.0,0.2
2007-11-23,389.75,381.0,389.0,1.83
2007-11-26,394.0,382.0,385.75,-0.84
2007-11-27,386.0,381.25,383.5,-0.58
2007-11-28,387.75,380.0,387.25,0.98
2007-11-29,390.0,382.5,383.5,-0.97
2007-11-30,387.5,378.0,384.5,0.26
2007-12-03,392.25,382.25,386.0,0.39
2007-12-04,395.75,385.5,394.0,2.07
2007-12-05,395.25,390.5,394.0,0.0
2007-12-06,395.5,391.0,394.75,0.19
2007-12-07,400.0,394.25,399.5,1.2
2007-12-10,402.25,398.25,400.5,0.25
2007-12-11,407.5,398.25,406.5,1.5
2007-12-12,416.75,402.0,416.75,2.52
2007-12-13,422.0,412.0,418.75,0.48
2007-12-14,421.0,416.25,420.0,0.3
2007-12-17,443.25,431.5,438.75,4.46
2007-12-18,438.5,431.25,432.0,-1.54
2007-12-19,436.5,430.25,434.75,0.64
2007-12-20,438.0,431.75,437.5,0.63
2007-12-21,447.75,436.5,443.5,1.37
2007-12-24,444.5,440.25,444.0,0.11
2007-12-26,455.0,446.75,452.25,1.86
2007-12-27,455.0,450.5,454.75,0.55
2007-12-28,457.0,451.75,452.0,-0.6
2007-12-31,457.0,447.75,455.5,0.77
2008-01-02,469.5,456.0,462.5,1.54
2008-01-03,469.0,460.75,466.0,0.76
2008-01-04,469.0,459.0,466.75,0.16
2008-01-07,468.5,462.0,466.25,-0.11
2008-01-08,480.0,465.5,478.75,2.68
2008-01-09,482.0,475.5,477.25,-0.31
2008-01-10,478.25,471.0,475.0,-0.47
2008-01-11,495.0,473.5,495.0,4.21
2008-01-14,515.0,503.0,512.0,3.43
2008-01-15,519.25,505.0,509.0,-0.59
2008-01-16,509.0,496.0,502.5,-1.28
2008-01-17,513.75,500.25,502.0,-0.1
2008-01-18,502.5,494.75,498.25,-0.75
2008-01-22,498.5,478.25,489.0,-1.86
2008-01-23,493.75,469.0,469.25,-4.04
2008-01-24,489.25,473.25,489.25,4.26
2008-01-25,504.5,491.25,498.25,1.84
2008-01-28,503.75,490.0,502.25,0.8
2008-01-29,507.5,497.0,501.0,-0.25
2008-01-30,502.5,494.25,498.5,-0.5
2008-01-31,505.25,492.0,501.25,0.55
2008-02-01,509.75,499.25,500.5,-0.15
2008-02-04,511.0,501.25,510.5,2.0
