Date,High,Low,Adj_Close,Change
2007-01-03,12652.0,12471.0,12530.0,0.0
2007-01-04,12576.0,12468.0,12549.0,0.15
2007-01-05,12557.0,12429.0,12450.0,-0.79
2007-01-08,12514.0,12405.0,12492.0,0.34
2007-01-09,12535.0,12436.0,12483.0,-0.07
2007-01-10,12545.0,12417.0,12508.0,0.2
2007-01-11,12602.0,12481.0,12566.0,0.46
2007-01-12,12631.0,12545.0,12626.0,0.48
2007-01-16,12654.0,12592.0,12628.0,0.02
2007-01-17,12668.0,12601.0,12639.0,0.09
2007-01-18,12665.0,12582.0,12603.0,-0.28
2007-01-19,12635.0,12576.0,12610.0,0.06
2007-01-22,12627.0,12495.0,12534.0,-0.6
2007-01-23,12600.0,12511.0,12592.0,0.46
2007-01-24,12674.0,12586.0,12661.0,0.55
2007-01-25,12670.0,12527.0,12541.0,-0.95
2007-01-26,12575.0,12464.0,12523.0,-0.14
2007-01-29,12577.0,12496.0,12525.0,0.02
2007-01-30,12572.0,12511.0,12560.0,0.28
2007-01-31,12689.0,12514.0,12660.0,0.8
2007-02-01,12726.0,12655.0,12711.0,0.4
2007-02-02,12736.0,12668.0,12689.0,-0.17
2007-02-05,12710.0,12660.0,12703.0,0.11
2007-02-06,12716.0,12661.0,12697.0,-0.05
2007-02-07,12734.0,12659.0,12710.0,0.1
2007-02-08,12707.0,12602.0,12672.0,-0.3
2007-02-09,12703.0,12571.0,12614.0,-0.46
2007-02-12,12632.0,12561.0,12584.0,-0.24
2007-02-13,12689.0,12586.0,12686.0,0.81
2007-02-14,12785.0,12682.0,12765.0,0.62
2007-02-15,12803.0,12760.0,12787.0,0.17
2007-02-16,12793.0,12764.0,12787.0,0.0
2007-02-20,12816.0,12722.0,12796.0,0.07
2007-02-21,12802.0,12723.0,12758.0,-0.3
2007-02-22,12782.0,12666.0,12704.0,-0.42
2007-02-23,12708.0,12650.0,12664.0,-0.31
2007-02-26,12719.0,12629.0,12654.0,-0.08
2007-02-27,12662.0,12102.0,12180.0,-3.75
2007-02-28,12357.0,12163.0,12274.0,0.77
2007-03-01,12313.0,12066.0,12252.0,-0.18
2007-03-02,12294.0,12101.0,12108.0,-1.18
2007-03-05,12196.0,11970.0,12036.0,-0.59
2007-03-06,12229.0,12062.0,12215.0,1.49
2007-03-07,12258.0,12178.0,12201.0,-0.11
2007-03-08,12305.0,12194.0,12280.0,0.65
2007-03-09,12344.0,12226.0,12288.0,0.07
2007-03-12,12346.0,12243.0,12313.0,0.2
2007-03-13,12315.0,12078.0,12091.0,-1.8
2007-03-14,12158.0,11920.0,12152.0,0.5
2007-03-15,12187.0,12103.0,12171.0,0.16
2007-03-16,12284.0,12176.0,12211.0,0.33
2007-03-19,12334.0,12190.0,12329.0,0.97
2007-03-20,12387.0,12303.0,12385.0,0.45
2007-03-21,12570.0,12350.0,12523.0,1.11
