Date,High,Low,Adj_Close,Change
2007-01-03,1811.0,1747.0,1779.0,0.0
2007-01-04,1816.5,1770.5,1812.25,1.87
2007-01-05,1816.0,1785.75,1797.25,-0.83
2007-01-08,1812.25,1792.25,1803.5,0.35
2007-01-09,1818.75,1792.0,1810.5,0.39
2007-01-10,1835.5,1798.0,1834.5,1.33
2007-01-11,1856.5,1830.25,1849.75,0.83
2007-01-12,1863.0,1845.5,1862.25,0.68
2007-01-16,1867.75,1851.5,1855.75,-0.35
2007-01-17,1857.75,1838.5,1841.25,-0.78
2007-01-18,1846.75,1802.0,1806.0,-1.91
2007-01-19,1815.5,1800.75,1806.5,0.03
2007-01-22,1814.25,1783.25,1792.25,-0.79
2007-01-23,1803.25,1783.25,1787.0,-0.29
2007-01-24,1815.75,1784.75,1815.25,1.58
2007-01-25,1823.5,1784.75,1791.25,-1.32
2007-01-26,1795.75,1773.0,1779.25,-0.67
2007-01-29,1798.25,1775.25,1786.75,0.42
2007-01-30,1794.5,1782.0,1789.25,0.14
2007-01-31,1808.75,1773.5,1802.5,0.74
2007-02-01,1817.0,1794.25,1803.25,0.04
2007-02-02,1810.5,1797.25,1807.25,0.22
2007-02-05,1814.5,1798.25,1805.5,-0.1
2007-02-06,1810.25,1784.75,1803.5,-0.11
2007-02-07,1825.75,1802.5,1823.0,1.08
2007-02-08,1823.25,1808.75,1821.75,-0.07
2007-02-09,1828.0,1787.25,1792.5,-1.61
2007-02-12,1794.75,1781.25,1785.5,-0.39
2007-02-13,1798.25,1784.75,1796.0,0.59
2007-02-14,1826.25,1793.5,1822.75,1.49
2007-02-15,1832.0,1818.25,1831.0,0.45
2007-02-16,1830.75,1819.75,1827.25,-0.2
2007-02-20,1842.25,1813.75,1838.75,0.63
2007-02-21,1845.0,1828.75,1844.5,0.31
2007-02-22,1857.5,1837.5,1854.25,0.53
2007-02-23,1856.75,1837.25,1845.0,-0.5
2007-02-26,1855.5,1824.0,1837.75,-0.39
2007-02-27,1838.25,1744.25,1750.5,-4.75
2007-02-28,1783.0,1743.25,1765.5,0.86
2007-03-01,1776.0,1720.0,1757.75,-0.44
2007-03-02,1763.0,1724.25,1726.25,-1.79
2007-03-05,1742.25,1704.75,1713.75,-0.72
2007-03-06,1750.0,1711.0,1745.0,1.82
2007-03-07,1749.25,1735.5,1737.5,-0.43
2007-03-08,1759.75,1733.25,1754.5,0.98
2007-03-09,1767.25,1735.25,1747.75,-0.38
2007-03-12,1760.5,1739.5,1757.75,0.57
2007-03-13,1760.0,1718.75,1724.25,-1.91
2007-03-14,1748.75,1711.25,1748.25,1.39
2007-03-15,1755.25,1737.25,1744.5,-0.21
2007-03-16,1750.0,1736.25,1747.239990234375,0.16
2007-03-19,1785.5,1757.5,1781.25,1.95
2007-03-20,1793.75,1777.75,1792.25,0.62
2007-03-21,1827.5,1782.25,1825.0,1.83
2007-03-22,1831.0,1812.5,1818.75,-0.34
2007-03-23,1824.5,1810.75,1811.5,-0.4
2007-03-26,1822.25,1793.25,1818.25,0.37
2007-03-27,1819.5,1806.25,1810.25,-0.44
2007-03-28,1810.25,1787.0,1790.25,-1.1
2007-03-29,1802.0,1770.25,1788.0,-0.13
2007-03-30,1801.25,1775.25,1790.75,0.15
2007-04-02,1797.25,1778.25,1790.0,-0.04
2007-04-03,1819.0,1789.75,1814.75,1.38
2007-04-04,1821.25,1811.0,1819.25,0.25
2007-04-05,1831.5,1814.5,1828.25,0.49
2007-04-09,1839.75,1820.5,1824.0,-0.23
2007-04-10,1833.25,1822.0,1829.5,0.3
2007-04-11,1833.75,1807.25,1812.75,-0.92
2007-04-12,1830.0,1802.25,1827.75,0.83
2007-04-13,1833.25,1815.5,1831.75,0.22
2007-04-16,1850.5,1829.5,1848.25,0.9
2007-04-17,1855.0,1842.75,1852.25,0.22
2007-04-18,1853.0,1836.5,1848.25,-0.22
2007-04-19,1853.75,1831.25,1849.0,0.04
2007-04-20,1870.25,1846.75,1862.5,0.73
2007-04-23,1867.25,1856.75,1863.0,0.03
2007-04-24,1876.75,1855.75,1870.25,0.39
2007-04-25,1896.75,1869.25,1894.0,1.27
2007-04-26,1909.0,1893.5,1906.0,0.63
2007-04-27,1907.25,1894.5,1906.75,0.04
2007-04-30,1907.75,1878.5,1879.25,-1.44
2007-05-01,1887.75,1868.0,1885.75,0.35
2007-05-02,1905.0,1883.5,1898.75,0.69
2007-05-03,1910.0,1897.0,1906.5,0.41
2007-05-04,1922.5,1897.75,1908.5,0.1
2007-05-07,1912.5,1903.25,1906.75,-0.09
2007-05-08,1911.75,1892.0,1905.5,-0.07
2007-05-09,1918.75,1897.0,1912.25,0.35
2007-05-10,1912.5,1882.0,1886.5,-1.35
2007-05-11,1911.75,1882.25,1910.5,1.27
2007-05-14,1925.75,1886.25,1896.25,-0.75
2007-05-15,1907.25,1877.75,1883.5,-0.67
2007-05-16,1901.5,1873.75,1901.25,0.94
2007-05-17,1901.0,1889.0,1890.25,-0.58
2007-05-18,1906.0,1888.75,1905.75,0.82
2007-05-21,1927.25,1903.0,1916.25,0.55
2007-05-22,1928.75,1912.25,1920.25,0.21
2007-05-23,1931.5,1907.75,1910.25,-0.52
2007-05-24,1917.5,1874.0,1882.0,-1.48
2007-05-25,1898.0,1880.5,1893.0,0.58
2007-05-29,1911.75,1891.5,1906.5,0.71
2007-05-30,1924.75,1887.5,1922.5,0.84
2007-05-31,1935.75,1922.25,1932.25,0.51
2007-06-01,1945.0,1928.75,1932.25,0.0
2007-06-04,1939.75,1922.0,1936.75,0.23
2007-06-05,1937.5,1918.75,1936.0,-0.04
2007-06-06,1938.5,1910.75,1914.0,-1.14
2007-06-07,1923.75,1881.75,1882.5,-1.65
2007-06-08,1909.5,1874.0,1909.0,1.41
2007-06-11,1919.25,1902.25,1905.5,-0.18
2007-06-12,1913.0,1889.0,1893.25,-0.64
2007-06-13,1914.5,1887.75,1912.25,1.0
2007-06-14,1930.25,1911.25,1926.25,0.73
2007-06-15,1944.0,1924.5,1946.9300537109373,1.07
2007-06-18,1974.75,1964.25,1967.5,1.06
2007-06-19,1972.0,1957.0,1967.0,-0.03
2007-06-20,1975.0,1945.25,1947.75,-0.98
2007-06-21,1968.0,1938.25,1965.75,0.92
2007-06-22,1966.5,1940.25,1948.0,-0.9
2007-06-25,1958.25,1927.0,1941.0,-0.36
2007-06-26,1948.5,1923.5,1925.5,-0.8
2007-06-27,1956.75,1918.0,1955.5,1.56
2007-06-28,1967.75,1951.5,1955.25,-0.01
2007-06-29,1969.25,1941.5,1956.0,0.04
2007-07-02,1975.25,1954.75,1972.0,0.82
2007-07-03,1981.25,1971.75,1985.0,0.66
2007-07-05,2003.75,1979.0,1998.0,0.65
2007-07-06,2009.75,1992.5,2009.0,0.55
2007-07-09,2014.5,2001.25,2008.5,-0.02
2007-07-10,2010.75,1989.25,1992.0,-0.82
2007-07-11,2010.0,1983.0,2009.5,0.88
2007-07-12,2039.25,2006.25,2034.75,1.26
2007-07-13,2051.25,2033.5,2046.75,0.59
2007-07-16,2055.75,2041.5,2048.5,0.09
2007-07-17,2064.25,2042.25,2060.75,0.6
