Date,High,Low,Adj_Close,Change
2007-01-03,1440.0,1416.5,1424.75,0.0
2007-01-04,1431.5,1416.75,1427.5,0.19
2007-01-05,1428.5,1414.25,1416.5,-0.77
2007-01-08,1424.5,1413.0,1422.5,0.42
2007-01-09,1427.0,1414.0,1420.5,-0.14
2007-01-10,1424.75,1412.25,1424.5,0.28
2007-01-11,1435.75,1420.75,1431.0,0.46
2007-01-12,1441.5,1428.25,1440.75,0.68
2007-01-16,1444.5,1436.25,1438.75,-0.14
2007-01-17,1443.0,1435.25,1438.75,0.0
2007-01-18,1442.25,1431.0,1433.25,-0.38
2007-01-19,1439.0,1431.25,1436.75,0.24
2007-01-22,1439.25,1426.75,1431.0,-0.4
2007-01-23,1438.0,1427.75,1435.5,0.31
2007-01-24,1446.5,1434.75,1446.25,0.75
2007-01-25,1447.25,1427.5,1429.25,-1.18
2007-01-26,1433.0,1422.0,1427.5,-0.12
2007-01-29,1432.5,1423.25,1426.25,-0.09
2007-01-30,1434.5,1425.5,1434.0,0.54
2007-01-31,1446.75,1429.0,1443.0,0.63
2007-02-01,1451.75,1441.0,1450.75,0.54
2007-02-02,1454.75,1448.75,1453.0,0.16
2007-02-05,1454.25,1448.0,1453.75,0.05
2007-02-06,1455.75,1447.5,1453.25,-0.03
2007-02-07,1457.75,1450.5,1455.75,0.17
2007-02-08,1455.75,1446.75,1454.0,-0.12
2007-02-09,1457.0,1437.0,1443.0,-0.76
2007-02-12,1444.75,1435.0,1438.0,-0.35
2007-02-13,1449.75,1437.5,1449.5,0.8
2007-02-14,1461.5,1448.75,1458.5,0.62
2007-02-15,1461.75,1456.25,1459.5,0.07
2007-02-16,1459.75,1454.5,1459.0,-0.03
2007-02-20,1464.0,1452.25,1461.75,0.19
2007-02-21,1463.0,1454.25,1460.5,-0.09
2007-02-22,1464.75,1452.75,1459.25,-0.09
2007-02-23,1459.25,1450.5,1453.75,-0.38
2007-02-26,1459.75,1447.75,1452.5,-0.09
2007-02-27,1452.75,1389.0,1395.25,-3.94
2007-02-28,1418.75,1390.5,1409.0,0.99
2007-03-01,1413.5,1380.75,1405.0,-0.28
2007-03-02,1410.0,1385.0,1385.75,-1.37
2007-03-05,1393.75,1371.0,1372.25,-0.97
2007-03-06,1399.5,1368.75,1395.5,1.69
2007-03-07,1402.5,1391.0,1393.25,-0.16
2007-03-08,1409.25,1390.25,1404.75,0.83
2007-03-09,1413.75,1397.75,1405.0,0.02
2007-03-12,1410.5,1398.5,1407.0,0.14
2007-03-13,1407.5,1377.0,1379.75,-1.94
2007-03-14,1389.75,1363.75,1389.5,0.71
2007-03-15,1396.25,1384.75,1391.5,0.14
2007-03-16,1397.0,1385.75,1396.1199951171875,0.33
2007-03-19,1416.0,1394.75,1415.75,1.41
2007-03-20,1424.0,1412.5,1423.5,0.55
2007-03-21,1449.75,1421.0,1445.0,1.51
2007-03-22,1451.0,1441.0,1445.0,0.0
2007-03-23,1451.0,1443.5,1447.0,0.14
2007-03-26,1449.25,1433.75,1445.25,-0.12
2007-03-27,1446.0,1436.0,1440.5,-0.33
2007-03-28,1440.75,1424.25,1429.5,-0.76
2007-03-29,1438.25,1423.25,1431.5,0.14
2007-03-30,1439.75,1418.0,1431.25,-0.02
2007-04-02,1436.0,1425.75,1433.25,0.14
2007-04-03,1450.5,1433.25,1447.25,0.98
2007-04-04,1450.0,1444.25,1448.5,0.09
2007-04-05,1454.75,1446.25,1452.75,0.29
2007-04-09,1459.0,1452.5,1454.5,0.12
2007-04-10,1458.25,1451.25,1456.0,0.1
2007-04-11,1458.25,1444.5,1448.5,-0.52
2007-04-12,1457.0,1442.25,1455.5,0.48
2007-04-13,1461.75,1452.25,1461.25,0.4
2007-04-16,1477.25,1461.0,1475.5,0.98
2007-04-17,1482.75,1471.25,1479.0,0.24
2007-04-18,1484.5,1473.0,1480.25,0.08
2007-04-19,1481.75,1468.25,1480.25,0.0
2007-04-20,1493.5,1478.75,1493.0,0.86
2007-04-23,1494.75,1487.0,1488.25,-0.32
2007-04-24,1491.5,1480.25,1488.5,0.02
2007-04-25,1503.5,1486.75,1500.75,0.82
2007-04-26,1505.0,1497.25,1502.75,0.13
2007-04-27,1503.75,1494.5,1502.0,-0.05
2007-04-30,1505.0,1488.0,1488.5,-0.9
2007-05-01,1493.0,1482.25,1492.75,0.29
2007-05-02,1504.75,1492.0,1501.0,0.55
2007-05-03,1509.25,1498.75,1508.25,0.48
2007-05-04,1517.0,1507.0,1514.25,0.4
2007-05-07,1516.75,1512.25,1514.25,0.0
2007-05-08,1514.0,1505.75,1512.25,-0.13
